model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
Qwen-7B,BS,0.2,negative,5000,1767,0.3534,72149,2237,0.031005280738471773,-0.28592940598767586,0.28592940598767586,0.510277317096474,0.22434791110879795,0.5676163628226528
Qwen-7B,BS,0.3,negative,5000,609,0.1218,72149,659,0.009133875729393339,-0.3962866161179631,0.3962866161179631,0.5644475933714491,0.16816097725348603,0.6703247413124233
Qwen-7B,BS,0.4,negative,5000,229,0.0458,72149,230,0.003187847371411939,-0.4996073879279368,0.4996073879279368,0.6191605913936785,0.11955320346574161,0.7742453017996498
Qwen-7B,BS,0.5,negative,5000,87,0.0174,72149,87,0.0012058379187514727,-0.5853093930643284,0.5853093930643284,0.6689220789242434,0.08361268585991487,0.8408956464990947
Qwen-7B,BS,0.6,negative,5000,31,0.0062,72149,31,0.0004296663848424788,-0.6692993574821738,0.6692993574821738,0.7473735225954834,0.07807416511330965,0.8467609003899327
Qwen-7B,BS,0.7,negative,5000,7,0.0014,72149,7,9.702144173862424e-05,-0.7602759699148319,0.7602759699148319,0.7936093032481651,0.03333333333333334,0.9145211930926218
Qwen-7B,CarSales,0.1,negative,5000,4282,0.8564,62917,9572,0.15213694232083538,-0.20479783229902346,0.20479783229902346,0.4980061449421194,0.293208312643096,0.5493008763750173
Qwen-7B,CarSales,0.2,negative,5000,2686,0.5372,62917,3453,0.05488182844064402,-0.31826880599355706,0.31826880599355706,0.5414633627457398,0.2231945567521828,0.593892834015234
Qwen-7B,CarSales,0.3,negative,5000,1385,0.277,62917,1487,0.023634311871195385,-0.41828095068584425,0.41828095068584425,0.5965020718082608,0.17822112112241648,0.6198561804178125
Qwen-7B,CarSales,0.4,negative,5000,659,0.1318,62917,665,0.010569480426593766,-0.5108105191477633,0.5108105191477633,0.6538613573236274,0.14305083817586406,0.6630204298625352
Qwen-7B,CarSales,0.5,negative,5000,285,0.057,62917,285,0.004529777325683043,-0.5970120027010554,0.5970120027010554,0.7236704980091314,0.12665849530807594,0.7025818625818625
Qwen-7B,CarSales,0.6,negative,5000,106,0.0212,62917,106,0.0016847592860435177,-0.6882763763799811,0.6882763763799811,0.7900384128494204,0.10176203646943942,0.7402432473187188
Qwen-7B,CarSales,0.7,negative,5000,38,0.0076,62917,38,0.0006039703100910724,-0.7608613971605244,0.7608613971605244,0.8379175771369566,0.07705617997643208,0.7508454265033214
Qwen-7B,Gridworld,0.1,negative,5000,2147,0.4294,67192,3362,0.05003571853792118,-0.1756863737006879,0.1756863737006879,0.44622395114111113,0.2705375774404232,0.5479855460819173
Qwen-7B,Gridworld,0.2,negative,5000,728,0.1456,67192,851,0.012665198237885462,-0.2885364106567653,0.2885364106567653,0.567154914544267,0.27861850388750176,0.6188985563985564
Qwen-7B,Gridworld,0.3,negative,5000,258,0.0516,67192,268,0.003988570067865222,-0.39666814984383914,0.39666814984383914,0.6372912342626627,0.24062308441882344,0.6568636121341346
Qwen-7B,Gridworld,0.4,negative,5000,91,0.0182,67192,92,0.0013692106203119418,-0.4992811663062778,0.4992811663062778,0.7201810151217886,0.2208998488155108,0.706457808495852
Qwen-7B,Gridworld,0.5,negative,5000,35,0.007,67192,36,0.0005357780688177164,-0.5911460864718442,0.5911460864718442,0.8020528785894308,0.21090679211758645,0.7571186914936914
Qwen-7B,Gridworld,0.6,negative,5000,14,0.0028,67192,14,0.0002083581378735564,-0.6685334471902948,0.6685334471902948,0.8571206159729113,0.18858716878261658,0.8366300366300367
Qwen-7B,Gridworld,0.7,negative,5000,5,0.001,67192,5,7.441362066912728e-05,-0.7406487648917139,0.7406487648917139,0.8489820982250473,0.10833333333333332,0.8142857142857143
Qwen-7B,Interview,0.1,negative,4999,4258,0.8517703540708141,66838,9174,0.13725724887040305,-0.1969188646832958,0.1969188646832958,0.4795976349683872,0.28267877028509153,0.5478438970061714
Qwen-7B,Interview,0.2,negative,4999,2290,0.45809161832366474,66838,3011,0.04504922349561627,-0.31048986576094656,0.31048986576094656,0.542532087668819,0.2320422219078723,0.608185346295853
Qwen-7B,Interview,0.3,negative,4999,1058,0.21164232846569314,66838,1171,0.017519973667674077,-0.4182882983427662,0.4182882983427662,0.6124802517101912,0.19419195336742487,0.6698348119343247
Qwen-7B,Interview,0.4,negative,4999,470,0.09401880376075215,66838,477,0.007136658786917622,-0.527102823130838,0.527102823130838,0.687448594495857,0.160345771365019,0.7206278638668576
